batting_team,bowling_team,venue,target,current_score,wickets,overs,run_rate,req_run_rate,result
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,149,99,6,15,6.6,10.0,0
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,95,80,2,15,5.333333333333333,3.0,1
Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,182,127,3,15,8.466666666666667,11.0,0
Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,158,99,6,15,6.6,11.8,0
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,120,113,2,15,7.533333333333333,1.4,1
Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,144,109,4,15,7.266666666666667,7.0,1
Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",166,122,4,15,8.133333333333333,8.8,0
Kings XI Punjab,Mumbai Indians,Wankhede Stadium,160,113,5,15,7.533333333333333,9.4,0
Kochi Tuskers Kerala,Delhi Daredevils,Feroz Shah Kotla,141,141,3,15,9.4,0.0,1
Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",170,119,4,15,7.933333333333334,10.2,0
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",148,125,1,15,8.333333333333334,4.6,1
Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,161,96,4,15,6.4,13.0,0
Kolkata Knight Riders,Kochi Tuskers Kerala,Nehru Stadium,157,106,3,15,7.066666666666666,10.2,0
Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",176,152,4,15,10.133333333333333,4.8,1
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,206,96,7,15,6.4,22.0,0
Delhi Daredevils,Mumbai Indians,Wankhede Stadium,179,114,5,15,7.6,13.0,0
Pune Warriors,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",120,117,5,15,7.8,0.6,1
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,197,119,5,15,7.933333333333334,15.6,0
Pune Warriors,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",137,119,3,15,7.933333333333334,3.6,1
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,147,139,1,15,9.266666666666667,1.6,1
Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",177,117,4,15,7.8,12.0,0
Kings XI Punjab,Kochi Tuskers Kerala,Holkar Cricket Stadium,179,149,4,15,9.933333333333334,6.0,1
Mumbai Indians,Deccan Chargers,Wankhede Stadium,136,83,6,15,5.533333333333333,10.6,0
Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,171,102,6,15,6.8,13.8,0
Deccan Chargers,Pune Warriors,Dr DY Patil Sports Academy,137,112,3,15,7.466666666666667,5.0,1
Royal Challengers Bangalore,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,233,110,9,15,7.333333333333333,24.6,0
Kochi Tuskers Kerala,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",153,95,3,15,6.333333333333333,11.6,0
Kolkata Knight Riders,Pune Warriors,Dr DY Patil Sports Academy,119,117,3,15,7.8,0.4,1
Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,199,102,8,15,6.8,19.4,0
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,129,112,2,15,7.466666666666667,3.4,1
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,176,123,4,15,8.2,10.6,1
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,176,118,3,15,7.866666666666666,11.6,1
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,148,123,5,15,8.2,5.0,1
Mumbai Indians,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",186,111,8,15,7.4,15.0,0
Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",206,115,7,15,7.666666666666667,18.2,0
Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",113,104,3,15,6.933333333333334,1.8,1
Mumbai Indians,Pune Warriors,Wankhede Stadium,130,77,6,15,5.133333333333334,10.6,0
Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,192,127,7,15,8.466666666666667,13.0,0
Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,158,105,5,15,7.0,10.6,0
Deccan Chargers,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,194,117,8,15,7.8,15.4,0
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,165,98,7,15,6.533333333333333,13.4,0
Kings XI Punjab,Pune Warriors,Subrata Roy Sahara Stadium,167,104,6,15,6.933333333333334,12.6,0
Mumbai Indians,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,139,94,3,15,6.266666666666667,9.0,1
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,166,91,7,15,6.066666666666666,15.0,0
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,198,146,5,15,9.733333333333333,10.4,0
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",206,141,3,15,9.4,13.0,1
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",116,99,3,15,6.6,3.4,1
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,132,102,3,15,6.8,6.0,1
Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,156,117,3,15,7.8,7.8,1
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,135,99,6,15,6.6,7.2,0
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,196,108,7,15,7.2,17.6,0
